id,observed_on,place_guess,latitude,longitude,quality_grade,taxon_id,rank,scientific_name,common_name,native,threatened,observation_photo,location
298678232,2025-07-11T16:17:47-04:00,"South Oxford, ME 04217, USA",44.3319826997,-70.7537709,needs_id,47157,order,Lepidoptera,Butterflies and Moths,False,False,https://static.inaturalist.org/photos/538029406/square.jpg,"44.3319826997,-70.7537709"
298678170,2025-07-11T16:17:06-04:00,"South Oxford, ME 04217, USA",44.3321007997,-70.7537482,research,52764,species,Prunella vulgaris,common selfheal,True,False,https://static.inaturalist.org/photos/538029338/square.jpg,"44.3321007997,-70.7537482"
298678136,2025-07-11T16:13:16-04:00,"South Oxford, ME 04217, USA",44.3326817,-70.755886,needs_id,417398,species,Turbinellus floccosus,Scaly Chanterelle,True,False,https://static.inaturalist.org/photos/538029260/square.jpg,"44.3326817,-70.755886"
298678115,2025-07-11T16:12:38-04:00,"South Oxford, ME 04217, USA",44.3327130997,-70.7558911997,needs_id,48702,family,Boletaceae,boletes,False,False,https://static.inaturalist.org/photos/538029213/square.jpg,"44.3327130997,-70.7558911997"
298678031,2025-07-11T16:07:40-04:00,"South Oxford, ME 04217, USA",44.3328933,-70.7561790997,research,204198,species,Dendrolycopodium obscurum,flat-branched tree-clubmoss,True,False,https://static.inaturalist.org/photos/538029027/square.jpg,"44.3328933,-70.7561790997"
298677983,2025-07-11T16:07:06-04:00,"South Oxford, ME 04217, USA",44.3330022997,-70.7561402,research,83799,species,Mitchella repens,partridgeberry,True,False,https://static.inaturalist.org/photos/538028938/square.jpg,"44.3330022997,-70.7561402"
298677928,2025-07-11T16:02:01-04:00,"South Oxford, ME 04217, USA",44.3336613,-70.7574309997,needs_id,128715,species,Thalictrum pubescens,tall meadow-rue,True,False,https://static.inaturalist.org/photos/538028800/square.jpg,"44.3336613,-70.7574309997"
298677753,2025-07-11T16:00:05-04:00,"South Oxford, ME 04217, USA",44.3336834997,-70.7574007997,needs_id,132322,species,Platanthera grandiflora,Greater Purple Fringed Orchid,True,False,https://static.inaturalist.org/photos/538028490/square.jpg,"44.3336834997,-70.7574007997"
298677608,2025-07-11T15:58:21-04:00,"South Oxford, ME 04217, USA",44.3335689,-70.7577832,research,57131,species,Lilium canadense,Canada lily,True,False,https://static.inaturalist.org/photos/538028244/square.jpg,"44.3335689,-70.7577832"
298677593,2025-07-11T15:57:18-04:00,"South Oxford, ME 04217, USA",44.3335579997,-70.7579556997,needs_id,58707,genus,Cordyceps,,False,False,https://static.inaturalist.org/photos/538028187/square.jpg,"44.3335579997,-70.7579556997"
298677542,2025-07-11T15:57:09-04:00,"South Oxford, ME 04217, USA",44.3335579997,-70.7579556997,needs_id,486780,genus,Neoascia,Fen Flies,False,False,https://static.inaturalist.org/photos/538028071/square.jpg,"44.3335579997,-70.7579556997"
298677495,2025-07-11T15:56:25-04:00,"South Oxford, ME 04217, USA",44.3335361997,-70.7579817,research,79484,species,Veratrum viride,green false hellebore,True,False,https://static.inaturalist.org/photos/538027976/square.jpg,"44.3335361997,-70.7579817"
298677461,2025-07-11T15:54:57-04:00,"South Oxford, ME 04217, USA",44.333491,-70.7580825,needs_id,68068,genus,Rhizomnium,,False,False,https://static.inaturalist.org/photos/538027915/square.jpg,"44.333491,-70.7580825"
298240976,2025-07-11T15:54:11-04:00,"South Oxford, ME 04217, USA",44.3335798997,-70.7581196997,research,57131,species,Lilium canadense,Canada lily,True,False,https://static.inaturalist.org/photos/538020342/square.jpg,"44.3335798997,-70.7581196997"
298240743,2025-07-11T15:51:50-04:00,"South Oxford, ME 04217, USA",44.3337379997,-70.758318,needs_id,52680,genus,Polypodium,polypody ferns,False,False,https://static.inaturalist.org/photos/537186623/square.jpg,"44.3337379997,-70.758318"
298240559,2025-07-11T15:49:26-04:00,"South Oxford, ME 04217, USA",44.3343405997,-70.7589908,research,165994,species,Oxalis montana,mountain woodsorrel,True,False,https://static.inaturalist.org/photos/537186244/square.jpg,"44.3343405997,-70.7589908"
297195479,2025-07-11T15:44:55-04:00,"South Oxford, ME 04217, USA",44.3355044997,-70.7613795997,needs_id,55732,species,Potentilla norvegica,rough cinquefoil,True,False,https://static.inaturalist.org/photos/535214997/square.jpg,"44.3355044997,-70.7613795997"
